id_hospital,nome,telemovel,emergencia,ehr,cod_postal,estado,cidade,morada,id_tipo,id_dono
20012,"FAIRBANKS MEMORIAL HOSPITAL",9074528181,VERDADEIRO,VERDADEIRO,99701,AK,FAIRBANKS,"1650 COWLES STREET",1,9
20017,"ALASKA REGIONAL HOSPITAL",9072761131,VERDADEIRO,VERDADEIRO,99508,AK,ANCHORAGE,"2801 DEBARR ROAD",1,6
20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL",9075436300,VERDADEIRO,VERDADEIRO,99559,AK,BETHEL,"PO BOX 287",1,7
20024,"CENTRAL PENINSULA GENERAL HOSPITAL",9072624404,VERDADEIRO,VERDADEIRO,99669,AK,SOLDOTNA,"250 HOSPITAL PLACE",1,9
20026,"ALASKA NATIVE MEDICAL CENTER",9075632662,VERDADEIRO,VERDADEIRO,99508,AK,ANCHORAGE,"4315 DIPLOMACY DR",1,2
21301,"PROVIDENCE VALDEZ MEDICAL CENTER",9078352249,VERDADEIRO,VERDADEIRO,99686,AK,VALDEZ,"PO BOX 550",3,3
21302,"PROVIDENCE SEWARD HOSPITAL",9072245205,VERDADEIRO,VERDADEIRO,99664,AK,SEWARD,"417 FIRST AVENUE, PO BOX 365",3,3
21303,"SITKA COMMUNITY HOSPITAL",9077473241,VERDADEIRO,VERDADEIRO,99835,AK,SITKA,"209 MOLLER DRIVE",3,3
21304,"PETERSBURG MEDICAL CENTER",9077724291,VERDADEIRO,VERDADEIRO,99833,AK,PETERSBURG," PO BOX 589",3,3
21305,"WRANGELL MEDICAL CENTER",9078747000,VERDADEIRO,VERDADEIRO,99929,AK,WRANGELL,"310 BENNETT STREET PO BOX 1081",3,3
21306,"PROVIDENCE KODIAK ISLAND MEDICAL CTR",9074869592,VERDADEIRO,VERDADEIRO,99615,AK,KODIAK,"1915 EAST REZANOF DRIVE",3,8
21307,"CORDOVA COMMUNITY MEDICAL CENTER",9074248000,VERDADEIRO,VERDADEIRO,99574,AK,CORDOVA,"PO BOX 160 - 602 CHASE AVENUE",3,3
21308,"NORTON SOUND REGIONAL HOSPITAL",9074433311,VERDADEIRO,VERDADEIRO,99762,AK,NOME,"1000 GREG KRUSCHEK AVENUE (P O BOX 966)",3,7
21309,"KANAKANAK HOSPITAL",9078425201,VERDADEIRO,VERDADEIRO,99576,AK,DILLINGHAM,"P O BOX 130",3,10
21310,"MANIILAQ HEALTH CENTER",9074423321,VERDADEIRO,VERDADEIRO,99752,AK,KOTZEBUE,"PO BOX 43",3,7
21311,"PEACEHEALTH KETCHIKAN MEDICAL CENTER",9072255171,VERDADEIRO,VERDADEIRO,99901,AK,KETCHIKAN,"3100 TONGASS AVENUE",3,8
21312,"SAMUEL SIMMONDS MEMORIAL HOSPITAL",9078524611,VERDADEIRO,VERDADEIRO,99723,AK,BARROW,"7000 UULA ST",3,2
21313,"SOUTH PENINSULA HOSPITAL",9072358101,VERDADEIRO,VERDADEIRO,99603,AK,HOMER,"4300 BARTLETT ST",3,10
21314,"MT EDGECUMBE HOSPITAL",9079662411,VERDADEIRO,,99835,AK,SITKA,"222 TONGASS DR",3,10
30001,"ABRAZO MARYVALE CAMPUS",6238485000,VERDADEIRO,VERDADEIRO,85031,AZ,PHOENIX,"5102 WEST CAMPBELL AVENUE",1,6
30002,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX",6022392000,VERDADEIRO,VERDADEIRO,85006,AZ,PHOENIX,"1111 EAST MCDOWELL ROAD",1,9
30006,"TUCSON MEDICAL CENTER",5203275461,VERDADEIRO,VERDADEIRO,85712,AZ,TUCSON,"5301 EAST GRANT ROAD",1,10
30007,"VERDE VALLEY MEDICAL CENTER",9286396058,VERDADEIRO,VERDADEIRO,86326,AZ,COTTONWOOD,"269 SOUTH CANDY LANE",1,10
30010,"ST. MARY'S HOSPITAL",5208723000,VERDADEIRO,VERDADEIRO,85745,AZ,TUCSON,"1601 WEST ST MARY'S ROAD",1,10
30011,"ST JOSEPH'S HOSPITAL",5208733000,VERDADEIRO,VERDADEIRO,85711,AZ,TUCSON,"350 NORTH WILMOT ROAD",1,9
30012,"YAVAPAI REGIONAL MEDICAL CENTER",9284452700,VERDADEIRO,VERDADEIRO,86301,AZ,PRESCOTT,"1003 WILLOW CREEK ROAD",1,3
30013,"YUMA REGIONAL MEDICAL CENTER",9283367600,VERDADEIRO,VERDADEIRO,85364,AZ,YUMA,"2400 SOUTH AVENUE A",1,10
30014,"JOHN C. LINCOLN MEDICAL CENTER",6023315862,VERDADEIRO,VERDADEIRO,85020,AZ,PHOENIX,"250 EAST DUNLAP AVENUE",1,10
30016,"BANNER CASA GRANDE MEDICAL CENTER",5203816300,VERDADEIRO,VERDADEIRO,85222,AZ,"CASA GRANDE","1800 EAST FLORENCE BOULEVARD",1,9
30022,"MARICOPA MEDICAL CENTER",6023445011,VERDADEIRO,VERDADEIRO,85008,AZ,PHOENIX,"2601 EAST ROOSEVELT STREET",1,3
30023,"FLAGSTAFF MEDICAL CENTER",9287793366,VERDADEIRO,VERDADEIRO,86001,AZ,FLAGSTAFF,"1200 NORTH BEAVER STREET",1,10
30024,"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER",6024065001,VERDADEIRO,VERDADEIRO,85013,AZ,PHOENIX,"350 WEST THOMAS ROAD",1,8
30030,"ABRAZO CENTRAL CAMPUS",6022490212,VERDADEIRO,VERDADEIRO,85015,AZ,PHOENIX,"2000 WEST BETHANY HOME ROAD",1,6
30033,"BANNER PAYSON MEDICAL CENTER",9284743222,VERDADEIRO,VERDADEIRO,85541,AZ,PAYSON,"807 SOUTH PONDEROSA DRIVE",1,9
30036,"CHANDLER REGIONAL MEDICAL CENTER",4807283000,VERDADEIRO,VERDADEIRO,85224,AZ,CHANDLER,"1955 WEST FRYE ROAD",1,9
30037,"ST LUKE'S MEDICAL CENTER",6022518156,VERDADEIRO,VERDADEIRO,85006,AZ,PHOENIX,"1800 EAST VAN BUREN STREET",1,6
30038,"SCOTTSDALE OSBORN MEDICAL CENTER",4808824004,VERDADEIRO,VERDADEIRO,85251,AZ,SCOTTSDALE,"7400 EAST OSBORN ROAD",1,6
30043,"CANYON VISTA MEDICAL CENTER",5204173001,VERDADEIRO,VERDADEIRO,85635,AZ,"SIERRA VISTA","5700 EAST HIGHWAY 90",1,9
30055,"KINGMAN REGIONAL MEDICAL CENTER",9287572101,VERDADEIRO,VERDADEIRO,86409,AZ,KINGMAN,"3269 STOCKTON HILL ROAD",1,1
30061,"BANNER BOSWELL MEDICAL CENTER",6238324000,VERDADEIRO,VERDADEIRO,85351,AZ,"SUN CITY","10401 WEST THUNDERBIRD BOULEVARD",1,9
30062,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",9285376399,VERDADEIRO,VERDADEIRO,85901,AZ,"SHOW LOW","2200 EAST SHOW LOW LAKE ROAD",1,10
30064,"BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",5208744189,VERDADEIRO,VERDADEIRO,85724,AZ,TUCSON,"1501 NORTH CAMPBELL AVENUE",1,10
30065,"BANNER DESERT MEDICAL CENTER",4804123000,VERDADEIRO,VERDADEIRO,85202,AZ,MESA,"1400 SOUTH  DOBSON ROAD",1,10
30068,"MT. GRAHAM REGIONAL MEDICAL CENTER",9283484000,VERDADEIRO,VERDADEIRO,85546,AZ,SAFFORD,"1600 SOUTH 20TH AVENUE",1,1
30069,"HAVASU REGIONAL MEDICAL CENTER",9288558185,VERDADEIRO,VERDADEIRO,86403,AZ,"LAKE HAVASU CITY","101 CIVIC CENTER LANE",1,6
30071,"FORT DEFIANCE INDIAN HOSPITAL",9287298000,VERDADEIRO,VERDADEIRO,86504,AZ,"FORT DEFIANCE","PO BOX 649",1,2
30073,"TUBA CITY REGIONAL HEALTH CARE CORPORATION",9282832501,FALSO,VERDADEIRO,86045,AZ,"TUBA CITY","PO BOX 600",1,9
30074,"SELLS HOSPITAL",5203627003,VERDADEIRO,VERDADEIRO,85634,AZ,SELLS,"HIGHWAY 86, AT TOPAWA ROAD",1,7
30077,"SAN CARLOS APACHE HEALTHCARE",9284751200,FALSO,VERDADEIRO,85542,AZ,PERIDOT,"103 MEDICINE WAY ROAD",1,2
30078,"PHOENIX INDIAN MEDICAL CENTER",6022631200,FALSO,VERDADEIRO,85016,AZ,PHOENIX,"4212 NORTH 16TH STREET",1,2
30083,"ABRAZO SCOTTSDALE CAMPUS",6029235000,VERDADEIRO,VERDADEIRO,85032,AZ,PHOENIX,"3929 EAST BELL ROAD",1,6
30084,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",9286747001,VERDADEIRO,VERDADEIRO,86503,AZ,CHINLE,"US HWY 191, HOSPITAL ROAD",1,2
30085,"NORTHWEST MEDICAL CENTER",5204698100,VERDADEIRO,VERDADEIRO,85741,AZ,TUCSON,"6200 NORTH LA CHOLLA BOULEVARD",1,6
30087,"SCOTTSDALE SHEA MEDICAL CENTER",4803233000,VERDADEIRO,VERDADEIRO,85260,AZ,SCOTTSDALE,"9003 EAST SHEA BOULEVARD",1,6
30088,"BANNER BAYWOOD MEDICAL CENTER",4806845898,FALSO,VERDADEIRO,85206,AZ,MESA,"6644 EAST BAYWOOD AVENUE",1,10
30089,"BANNER THUNDERBIRD MEDICAL CENTER",4806845898,VERDADEIRO,VERDADEIRO,85306,AZ,GLENDALE,"5555 WEST THUNDERBIRD ROAD",1,1
30092,"HONORHEALTH DEER VALLEY MEDICAL CENTER",6238796100,VERDADEIRO,VERDADEIRO,85027,AZ,PHOENIX,"19829 NORTH 27TH AVENUE",1,10
30093,"BANNER DEL E. WEBB MEDICAL CENTER",6235244000,VERDADEIRO,VERDADEIRO,85375,AZ,"SUN CITY WEST","14502 WEST MEEKER BOULEVARD",1,10
30094,"ABRAZO ARROWHEAD CAMPUS",6235611000,VERDADEIRO,VERDADEIRO,85308,AZ,GLENDALE,"18701 NORTH 67TH AVENUE",1,6
30101,"WESTERN ARIZONA REGIONAL MEDICAL CENTER",9287632273,VERDADEIRO,VERDADEIRO,86442,AZ,"BULLHEAD CITY","2735 SILVER CREEK ROAD",1,6
30103,"MAYO CLINIC HOSPITAL",4803424201,VERDADEIRO,VERDADEIRO,85054,AZ,PHOENIX,"5777 EAST MAYO BOULEVARD",1,10
30105,"BANNER HEART HOSPITAL",4808545050,FALSO,VERDADEIRO,85206,AZ,MESA,"6750 EAST BAYWOOD AVENUE",1,10
30107,"ARIZONA SPINE AND JOINT HOSPITAL",4808324770,FALSO,VERDADEIRO,85206,AZ,MESA,"4620 EAST BASELINE ROAD",1,6
30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",6027956020,FALSO,VERDADEIRO,85015,AZ,PHOENIX,"6501 NORTH 19TH AVENUE",1,6
30110,"ABRAZO WEST CAMPUS",6238821515,VERDADEIRO,VERDADEIRO,85395,AZ,GOODYEAR,"13677 WEST MCDOWELL ROAD",1,6
30111,"BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS",5208742000,VERDADEIRO,VERDADEIRO,85713,AZ,TUCSON,"2800 EAST AJO WAY",1,10
30112,"ARIZONA SPECIALTY HOSPITAL",4806039000,FALSO,VERDADEIRO,85224,AZ,CHANDLER,"2905 WEST WARNER ROAD, SUITE 1",1,6
30113,"WHITERIVER PHS INDIAN HOSPITAL",9283384911,FALSO,VERDADEIRO,85941,AZ,WHITERIVER,"200 WEST HOSPITAL DRIVE  (PO BOX 860)",1,2
30114,"ORO VALLEY HOSPITAL",5209013549,VERDADEIRO,VERDADEIRO,85755,AZ,"ORO VALLEY","1551 EAST TANGERINE ROAD",1,6
30115,"BANNER ESTRELLA MEDICAL CENTER",6233274000,VERDADEIRO,VERDADEIRO,85037,AZ,PHOENIX,"9201 WEST THOMAS ROAD",1,10
30117,"VALLEY VIEW MEDICAL CENTER",9287887252,VERDADEIRO,VERDADEIRO,86426,AZ,"FORT MOHAVE","5330 SOUTH HIGHWAY 95",1,6
30119,"MERCY GILBERT MEDICAL CENTER",4807288000,VERDADEIRO,VERDADEIRO,85296,AZ,GILBERT,"3555 SOUTH VAL VISTA DRIVE",1,8
30120,"GILBERT HOSPITAL",4808403715,VERDADEIRO,VERDADEIRO,85295,AZ,GILBERT,"5656 SOUTH POWER ROAD",1,6
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",4803586100,VERDADEIRO,VERDADEIRO,85209,AZ,MESA,"1301 SOUTH CRISMON ROAD",1,6
