id_class;id_hospital;rating;comentario;data_classificacao
34;50567;3;;2017-05-20
35;50684;2;;2017-05-20
36;50717;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
37;51310;4;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
38;51317;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
39;53302;0;Results are 0 for this reporting period;2017-05-20
40;53306;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
41;61325;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
42;61326;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
43;70006;3;;2017-05-20
44;70029;3;;2017-05-20
45;80003;4;;2017-05-20
46;100054;4;;2017-05-20
47;100137;2;;2017-05-20
48;100183;3;;2017-05-20
49;100204;3;;2017-05-20
50;100209;3;;2017-05-20
51;100244;2;;2017-05-20
52;21301;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
53;21304;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
54;21307;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
55;110030;4;;2017-05-20
56;110038;3;;2017-05-20
57;110041;3;;2017-05-20
58;110128;3;;2017-05-20
59;111313;3;;2017-05-20
60;111335;3;;2017-05-20
61;113301;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
62;120028;3;;2017-05-20
63;130013;4;;2017-05-20
64;140007;2;;2017-05-20
65;131323;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
66;140002;3;;2017-05-20
67;140015;3;;2017-05-20
68;140018;2;;2017-05-20
69;140052;3;;2017-05-20
70;140118;2;;2017-05-20
71;140191;3;;2017-05-20
72;140210;3;;2017-05-20
73;140258;4;;2017-05-20
74;140286;4;;2017-05-20
75;141302;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
76;141306;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
77;141328;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
78;141346;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
79;141349;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
80;143300;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
81;143301;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
82;150069;4;;2017-05-20
83;150089;3;;2017-05-20
84;150128;4;;2017-05-20
85;160089;3;;2017-05-20
86;161377;4;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
87;170166;3;;2017-05-20
88;171303;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
89;171312;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
90;171318;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
91;171322;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
92;171324;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
93;171338;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
94;171344;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
95;171356;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
96;171373;2;;2017-05-20
97;171382;3;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
98;180010;2;;2017-05-20
99;180079;4;;2017-05-20
100;180080;3;;2017-05-20
101;190116;2;;2017-05-20
102;190144;4;;2017-05-20
103;190145;3;;2017-05-20
104;190266;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
105;200033;2;;2017-05-20
106;191318;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
107;200018;3;;2017-05-20
108;201301;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
109;201312;3;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
110;210011;0;Data suppressed by CMS for one or more quarters;2017-05-20
111;220010;2;;2017-05-20
112;220171;3;;2017-05-20
113;221300;4;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
114;230110;4;;2017-05-20
115;230132;1;;2017-05-20
116;230197;2;;2017-05-20
117;230269;3;;2017-05-20
118;230273;1;;2017-05-20
119;230277;3;;2017-05-20
120;231303;4;;2017-05-20
121;231322;3;;2017-05-20
122;231323;4;;2017-05-20
123;240206;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
124;241300;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
125;241306;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
126;250006;4;;2017-05-20
127;241379;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
128;250057;4;;2017-05-20
129;250060;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
130;250084;2;;2017-05-20
131;250097;2;;2017-05-20
132;250127;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
133;250134;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
134;251309;2;;2017-05-20
135;260020;4;;2017-05-20
136;260032;2;;2017-05-20
137;260108;3;;2017-05-20
138;260141;2;;2017-05-20
139;260142;3;;2017-05-20
140;260183;3;;2017-05-20
141;260214;3;;2017-05-20
142;261318;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
143;261335;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
144;261336;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
145;263301;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
146;270003;3;;2017-05-20
147;271304;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
148;271309;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
149;271321;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
150;271339;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
151;280009;3;;2017-05-20
152;280013;2;;2017-05-20
153;280133;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
154;281300;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
155;281301;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
156;281302;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
157;281303;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
158;281309;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
159;281312;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
160;281314;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
161;281315;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
162;281316;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
163;281319;3;;2017-05-20
164;281326;3;;2017-05-20
165;281327;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
166;281331;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
167;281334;4;;2017-05-20
168;281335;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
169;281336;3;;2017-05-20
170;390093;2;;2017-05-20
171;281338;3;;2017-05-20
172;281340;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
173;281344;3;;2017-05-20
174;281346;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
175;281347;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
176;100213;2;;2017-05-20
177;281349;4;;2017-05-20
178;281351;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
179;281352;4;;2017-05-20
180;281354;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
181;281360;3;;2017-05-20
182;281361;3;;2017-05-20
183;281363;4;;2017-05-20
184;281364;4;;2017-05-20
185;290041;3;;2017-05-20
186;290045;1;;2017-05-20
187;290057;0;Results are not available for this reporting period;2017-05-20
188;291306;3;;2017-05-20
189;291314;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
190;310009;3;;2017-05-20
191;310010;3;;2017-05-20
192;310011;3;;2017-05-20
193;310034;3;;2017-05-20
194;310038;2;;2017-05-20
195;310044;2;;2017-05-20
196;310054;2;;2017-05-20
197;310091;3;;2017-05-20
198;310110;1;;2017-05-20
199;100248;2;;2017-05-20
200;320058;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
201;320059;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
202;320060;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
203;320062;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
204;320070;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
205;321309;2;;2017-05-20
206;330024;3;;2017-05-20
207;330049;3;;2017-05-20
208;330055;2;;2017-05-20
209;330058;3;;2017-05-20
210;330085;2;;2017-05-20
211;330136;2;;2017-05-20
212;330181;2;;2017-05-20
213;330195;2;;2017-05-20
214;330198;2;;2017-05-20
215;330304;3;;2017-05-20
216;330385;2;;2017-05-20
217;330386;2;;2017-05-20
218;330393;2;;2017-05-20
219;331303;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
220;340030;4;;2017-05-20
221;340047;3;;2017-05-20
222;340127;3;;2017-05-20
223;340132;2;;2017-05-20
224;340144;3;;2017-05-20
225;340156;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
226;340171;4;;2017-05-20
227;341302;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
228;341320;3;;2017-05-20
229;341323;3;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
230;350063;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
231;350064;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
232;351305;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
233;351312;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
234;351318;4;;2017-05-20
235;351319;3;;2017-05-20
236;351331;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
237;360051;4;;2017-05-20
238;360076;4;;2017-05-20
239;360098;4;;2017-05-20
240;360133;4;;2017-05-20
241;360245;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
242;360262;5;;2017-05-20
243;360274;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
244;363306;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
245;363308;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
246;370034;2;;2017-05-20
247;370048;3;;2017-05-20
248;370049;4;;2017-05-20
249;370054;3;;2017-05-20
250;370183;3;;2017-05-20
251;370214;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
252;370222;5;;2017-05-20
253;371311;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
254;371313;4;;2017-05-20
255;371330;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
256;371331;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
257;371332;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
258;381319;4;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
259;390013;3;;2017-05-20
260;390025;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
261;390032;3;;2017-05-20
262;390066;2;;2017-05-20
263;390079;2;;2017-05-20
264;390111;4;;2017-05-20
265;390123;1;;2017-05-20
266;390146;3;;2017-05-20
267;390156;2;;2017-05-20
268;390163;4;;2017-05-20
269;390168;4;;2017-05-20
270;390180;2;;2017-05-20
271;390195;4;;2017-05-20
272;390219;3;;2017-05-20
273;390258;4;;2017-05-20
274;390321;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
275;390330;0;Results are 0 for this reporting period;2017-05-20
276;393303;0;Results are 0 for this reporting period;2017-05-20
277;400001;3;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
278;400003;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
279;400004;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
280;400005;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
281;400006;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
282;400007;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
283;400009;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
284;400010;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
285;400011;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
286;400012;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
287;400013;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
288;400044;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
289;400014;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
290;400015;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
291;400016;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
292;400018;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
293;400019;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
294;400021;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
295;400022;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
296;400026;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
297;400032;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
298;400048;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
299;400061;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
300;400079;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
301;400087;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
302;400098;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
303;400102;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
304;400103;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
305;400104;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
306;410006;4;;2017-05-20
307;400105;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
308;400106;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
309;400109;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
310;400110;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
311;400111;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
312;400112;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
313;400113;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
314;400114;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
315;400115;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
316;400117;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
317;400118;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
318;400120;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
319;400121;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
320;400122;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
321;400123;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
322;400124;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
323;400125;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
324;400126;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
325;400127;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
326;400128;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
327;400130;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
328;400131;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
329;403301;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
330;420011;3;;2017-05-20
331;420015;3;;2017-05-20
332;420023;4;;2017-05-20
333;420098;4;;2017-05-20
334;420106;3;;2017-05-20
335;421302;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
336;430083;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
337;430084;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
338;431300;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
339;431309;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
340;431314;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
341;431318;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
342;431319;0;Results are 0 for this reporting period;2017-05-20
343;431326;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
344;431328;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
345;431332;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
346;431338;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
347;440001;3;;2017-05-20
348;440012;3;;2017-05-20
349;440082;4;;2017-05-20
350;440175;4;;2017-05-20
351;441315;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
352;450032;3;;2017-05-20
353;450099;4;;2017-05-20
354;450143;3;;2017-05-20
355;450147;3;;2017-05-20
356;450144;3;;2017-05-20
357;450165;3;;2017-05-20
358;450210;3;;2017-05-20
359;450214;3;;2017-05-20
360;450237;4;;2017-05-20
361;450324;2;;2017-05-20
362;450352;3;;2017-05-20
363;450369;4;;2017-05-20
364;450395;3;;2017-05-20
365;450662;3;;2017-05-20
366;450797;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
367;451309;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
368;451318;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
369;451329;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
370;451333;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
371;451341;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
372;451357;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
373;451360;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
374;451361;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
375;451365;3;;2017-05-20
376;453301;0;Results are 0 for this reporting period;2017-05-20
377;460010;3;;2017-05-20
378;460049;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
379;470001;4;;2017-05-20
380;471300;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
381;471306;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
382;490009;2;;2017-05-20
383;490104;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
384;490117;3;;2017-05-20
385;490126;3;;2017-05-20
386;500044;2;;2017-05-20
387;500051;3;;2017-05-20
388;500129;2;;2017-05-20
389;501305;4;;2017-05-20
390;503301;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
391;510001;2;;2017-05-20
392;510002;3;;2017-05-20
393;510072;3;;2017-05-20
394;511300;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
395;511312;3;;2017-05-20
396;520037;2;;2017-05-20
397;520103;3;;2017-05-20
398;430081;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
399;480001;2;;2017-05-20
400;520207;4;;2017-05-20
401;521332;3;;2017-05-20
402;521347;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
403;530008;3;;2017-05-20
404;530035;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
405;670004;4;;2017-05-20
406;670062;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
407;100055;3;;2017-05-20
408;640001;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
409;650001;3;;2017-05-20
410;650003;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
411;660001;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
412;100009;1;;2017-05-20
413;20008;3;;2017-05-20
414;33303;0;Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs;2017-05-20
415;11302;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
416;51311;2;;2017-05-20
417;60034;3;;2017-05-20
418;100161;2;;2017-05-20
419;51331;3;;2017-05-20
420;40118;3;;2017-05-20
421;20026;2;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
422;31315;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
423;100189;2;;2017-05-20
424;50082;2;;2017-05-20
425;50238;5;;2017-05-20
426;50022;2;;2017-05-20
427;50180;4;;2017-05-20
428;110025;3;;2017-05-20
429;40015;3;;2017-05-20
430;110036;2;;2017-05-20
431;40078;2;;2017-05-20
432;90011;2;;2017-05-20
433;50245;2;;2017-05-20
434;10036;3;;2017-05-20
435;50689;3;;2017-05-20
436;50710;3;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
437;110042;3;;2017-05-20
438;110111;3;;2017-05-20
439;50006;3;;2017-05-20
440;50112;4;;2017-05-20
441;51302;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
442;100025;3;;2017-05-20
443;30016;2;;2017-05-20
444;10045;4;;2017-05-20
445;30030;2;;2017-05-20
446;10125;5;;2017-05-20
447;50751;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
448;50225;3;;2017-05-20
449;30089;3;;2017-05-20
450;100067;2;;2017-05-20
451;60126;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
452;50740;4;;2017-05-20
453;100238;2;;2017-05-20
454;60116;3;;2017-05-20
455;50072;3;This hospital’s star rating only includes data reported on inpatient services;2017-05-20
456;100092;2;;2017-05-20
457;50136;3;;2017-05-20
458;50590;2;;2017-05-20
459;50152;3;;2017-05-20
460;50516;2;;2017-05-20
461;110161;4;;2017-05-20
462;10044;5;;2017-05-20
463;61311;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
464;30013;2;;2017-05-20
465;40132;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
466;10097;3;;2017-05-20
467;50496;4;;2017-05-20
468;10114;3;;2017-05-20
469;100287;2;;2017-05-20
470;50390;1;;2017-05-20
471;30121;1;;2017-05-20
472;30043;1;;2017-05-20
473;50359;1;;2017-05-20
474;100319;4;;2017-05-20
475;60065;3;;2017-05-20
476;100007;2;;2017-05-20
477;61324;4;;2017-05-20
478;100299;3;;2017-05-20
479;50133;1;;2017-05-20
480;50744;2;;2017-05-20
481;61305;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
482;50043;3;;2017-05-20
483;50454;3;;2017-05-20
484;50506;3;;2017-05-20
485;50093;2;;2017-05-20
486;50135;3;;2017-05-20
487;51301;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
488;90006;1;;2017-05-20
489;50089;2;;2017-05-20
490;31313;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
491;41319;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
492;100191;3;;2017-05-20
493;10089;3;;2017-05-20
494;50291;3;;2017-05-20
495;70008;3;;2017-05-20
496;110040;2;;2017-05-20
497;100109;3;;2017-05-20
498;41307;4;;2017-05-20
499;100022;1;;2017-05-20
500;40004;3;;2017-05-20
501;110100;3;;2017-05-20
502;50394;3;;2017-05-20
503;30022;2;;2017-05-20
504;61300;0;There are too few measures or measure groups reported to calculate a star rating or measure group score;2017-05-20
505;50709;2;;2017-05-20
506;50517;2;;2017-05-20
507;100167;3;;2017-05-20
508;100281;3;;2017-05-20
509;10016;3;;2017-05-20
510;40002;3;;2017-05-20
511;60044;3;;2017-05-20
512;10099;2;;2017-05-20
513;50758;3;;2017-05-20
514;10087;3;;2017-05-20
515;90004;1;;2017-05-20
516;100265;4;;2017-05-20
517;50764;4;;2017-05-20
518;110124;3;;2017-05-20
519;100122;3;;2017-05-20
